Place,Latitude,Longitude
delhi,28.610001,77.230003
bengaluru,12.97244,77.580643
chennai,13.067439,80.237617
kolkata,22.572645,88.363892
mumbai,19.07609,72.877426
chandigarh,30.741482,76.76806
hyderabad,17.38714,78.491684
